"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 28 22:30:40 GMT+08:00 2021","Tue Dec 28 22:30:40 GMT+08:00 2021","1","","test_allure特性","TestLogin","","","test_login_fail_1",""
"passed","Tue Dec 28 22:30:40 GMT+08:00 2021","Tue Dec 28 22:30:40 GMT+08:00 2021","0","","test_allure特性","TestLogin","","","test_with_link",""
"failed","Tue Dec 28 22:30:40 GMT+08:00 2021","Tue Dec 28 22:30:40 GMT+08:00 2021","1","","test_allure特性","TestLogin","","","test_login_fail_2",""
"passed","Tue Dec 28 22:30:40 GMT+08:00 2021","Tue Dec 28 22:30:40 GMT+08:00 2021","1","","test_allure特性","TestLogin","","","test_login_success",""
